"amenity","latitude","longitude","type"
"Mayflower Mrt Due 2020",1.372087,103.836998,"Train"
"Lentor Mrt Due 2020",1.38551,103.835562,"Train"
"Yio Chu Kang Mrt",1.38177011,103.844903,"Train"
"Blk 170",1.374471933,103.837564,"Bus Stop"
"Blk 163",1.3743,103.8376728,"Bus Stop"
"Horizon Gdns",1.376844444,103.8348403,"Bus Stop"
"Giant - Main Branch(Ang Mo Kio Avenue 4)",1.374181901,103.8395152,"Market"
"Giant(Jalan Kuras)",1.372785892,103.829609,"Market"
"Sheng Siong Hypermarket(Ang Mo Kio 233)",1.367547316,103.8367407,"Market"
"Broadway Plaza",1.371935797,103.8459734,"Shopping Mall"
"Djitsun Mall",1.372861513,103.8476446,"Shopping Mall"
"Jubilee Square",1.371784919,103.8478372,"Shopping Mall"
"Tampines East Mrt",1.356261,103.954422,"Train"
"Tampines Mrt",1.353204994,103.9446326,"Train"
"Pasir Ris Mrt",1.373086297,103.9492796,"Train"
"Blk 430",1.36002525,103.9503227,"Bus Stop"
"Blk 496f",1.360256427,103.9502227,"Bus Stop"
"Blk 442",1.359294711,103.9523357,"Bus Stop"
"Ntuc Fairprice (Tampines Blk 475)",1.360323321,103.953126,"Market"
"Giant(Tampines Central 1)",1.35590219,103.9459122,"Market"
"Cold Storage Tampines 1",1.35431557,103.9450195,"Market"
"Tampines 1",1.35431557,103.9450195,"Shopping Mall"
"Tampines Mall",1.352580248,103.9446962,"Shopping Mall"
"Century Square",1.352361127,103.9437848,"Shopping Mall"
"Loyang  Mrt Due 2029",1.3699096,103.9708543,"Train"
"Pasir Ris East Mrt Due 2029",1.3676948,103.9627594,"Train"
"Changi Airport Mrt",1.358599368,103.9880215,"Train"
"Opp Changi Chapel Museum",1.362659008,103.9737028,"Bus Stop"
"Changi Chapel Museum",1.362294213,103.9733164,"Bus Stop"
"Giant(Loyang Point)",1.366259352,103.9646456,"Market"
"Sheng Siong Hypermarket(Loyang Point Complex)",1.367066342,103.9646356,"Market"
"Ntuc Fairprice (Changi Airport T3)",1.356716113,103.9865146,"Market"
"Loyang Point",1.366379163,103.9645869,"Shopping Mall"
"Serangoon North Mrt Due 2029",1.3707892,103.8729322,"Train"
"Tavistock  Mrt Due 2029",1.3700598,103.8631797,"Train"
"Blk 554",1.371731765,103.8701543,"Bus Stop"
"Blk 101",1.371251832,103.8705581,"Bus Stop"
"Blk 530",1.373521827,103.8724374,"Bus Stop"
"Giant(Serangoon North Avenue 3)",1.373667885,103.8714062,"Market"
"Sheng Siong Hypermarket(Serangoon North)",1.375653673,103.8720121,"Market"
"Ntuc Fairprice (Serangoon Blk 152b)",1.369799415,103.8730358,"Market"
"Hougang 1",1.37571464,103.879472,"Shopping Mall"
"Myvillage At Serangoon Garden",1.365114239,103.8651592,"Shopping Mall"
"Greenwich V",1.387602635,103.8694233,"Shopping Mall"
"Tampines North Mrt Due 2029",1.3695557,103.9392149,"Train"
"Aft Pasir Ris Dr 3",1.374607785,103.94821,"Bus Stop"
"Bef Pasir Ris Dr 3",1.374688868,103.948013,"Bus Stop"
"Aft Pasir Ris St 53",1.373134772,103.9480265,"Bus Stop"
